00001 (133),180.968,159.448,151.043,185.062,184.584,172.531,135.095,183.12,177.433,179.182,180.843,182.64,177.191,153.047,137.744,140.344,154.038,160.491,138.576,180.899,176.83,172.99,146.632,142.182,170.251,147.954,121.598,152.587,166.621,144.087,116.841,172.814,166.244,158.929,158.768,158.254,150.882,110.864,113.824,137.753,136.675,131.394,113.199,159.123,160.534,149.491,152.927,159.688
云烟,53.964,59.017,61.863,63.305,68.707,69.178,68.495,69.561,68.203,65.544,61.286,60.738,66.089,73.596,72.989,70.391,70.938,72.333,64.469,71.273,67.345,73.084,80.463,78.86,55.484,66.805,67.669,60.009,63.339,83.844,53.286,74.931,65.114,72.723,93.12,86.572,55.319,60.414,60.849,60.077,62.039,62.395,60.597,62.802,62.335,61.546,65.688,61.992
yingzhonghua,55.44,62.079,60.683,61.714,61.588,62.1,61.934,66.38,61.915,60.419,58.952,56.353,58.402,81.702,70.526,73.518,74.079,66.481,69.598,69.122,68.435,78.903,73.217,63.835,59.121,77.581,68.854,77.303,81.713,85.47,86.826,70.717,74.878,73.526,75.432,67.899,66.74,96.387,65.93,71.622,68.164,67.288,65.488,68.816,65.881,64.515,62.519,59.532,
yuxi11101010,112.968,121.112,125.799,130.112,131.177,135.812,124.061,136.689,113.935,62.267,61.052,58.49,105.44,115.822,122.521,121.971,135.95,109.169,78.887,115.401,115.433,63.971,62.655,59.001,117.294,126.249,130.839,137.745,142.91,103.327,92.182,111.211,122.431,83.596,93.073,79.766,123.742,135.106,138.351,142.113,139.313,144.866,119.44,144.234,122.558,76.108,75.686,73.846,
1123354668789,145.738,157.685,165.156,168.9,170.36,173.391,151.794,122.75,119.956,115.662,154.361,147.141,134.218,146.237,156.608,155.842,173.967,177.846,131.316,70.418,74.97,70.141,162.772,157,149.02,155.261,160.232,173.903,180.213,186.717,122.262,95.764,164.322,82.235,173.199,165.475,157.9,172.593,179.348,179.52,178.743,184.931,144.433,101.002,179.78,85.561,174.151,166.214,
yingzhoghua11,53.76,53.432,54.564,57.352,55.266,52.821,54.175,54.138,52.191,50.134,43.696,43.731,61.306,78.839,76.986,72.259,66.667,62.962,98.32,66.886,66.507,104.217,120.099,91.92,58.325,71.458,72.604,64.465,69.272,63.412,114.97,78.8,74.067,66.536,92.106,60.786,61.187,71.219,71.431,64.946,68.885,65.821,66.726,67.182,66.648,65.178,62.832,57.132,
jiaozi1123124,52.229,56.886,58.714,61.136,67.748,70.655,73.049,67.425,61.734,73.928,97.955,112.964,68.02,72.607,74.059,73.697,70.371,87.007,96.525,66.953,67.465,90.202,132.954,119.331,59.368,73.917,72.258,63.416,66.412,98.927,69.489,66.657,66.412,83.042,116.758,106.175,59.58,64.393,65.423,66.726,69.307,71.288,84.931,68.349,68.853,90.645,126.293,126.214,
huanghelou,43.135,58.082,49.675,47.025,82.733,90.604,89.843,83.707,78.673,71.716,67.881,63.286,45.408,59.594,56.162,51.788,52.83,51.382,55.97,57.567,55.364,64.235,42.126,41.906,47.475,66.495,62.714,53.841,59.952,59.659,63.863,69.225,67.348,70.801,47.538,47.194,50.068,66.03,56.155,53.821,91.646,104.789,100.098,105.352,109.124,93.029,93.661,89.73,
pride1123123,46.957,53.662,55.158,56.124,57.517,56.855,156.593,113.139,57.88,55.613,53.242,49.204,48.668,56.693,57.772,60.315,58.189,59.659,154.107,114.167,67.457,83.111,80.224,68.935,60.681,70.902,68.766,73.129,64.422,72.102,158.698,125.876,97.055,89.595,97.283,86.54,56.958,91.129,80.321,63.433,59.78,60.32,160.094,125.463,64.844,64.306,63.78,59.795,
tianxiaxiu11,145.257,157.797,158.074,175.549,179.742,162.297,162.821,178.755,180.723,178.966,173.973,161.676,150.65,168.309,164.327,184.043,188.807,197.708,143.043,188.605,189.611,177.38,171.883,163.972,150.911,159.868,164.443,163.904,178.482,181.422,182.994,186.667,165.481,169.008,162.647,154.823,146.103,158.689,161.978,171.56,176.889,179.612,174.892,176.141,178.325,177.794,169.229,155.216,
tianxiaxiu11,135.676,146.394,144.681,163.987,166.784,153.731,166.733,163.152,160.648,153.907,142.797,130.119,136.385,164.768,161.646,182.021,186.769,195.902,158.177,182.833,181.051,165.251,156.844,146.911,140.749,161.458,167.125,175.607,180.976,182.07,172.372,183.742,162.146,162.002,154.329,144.559,141.594,158.668,162.443,173.626,178.291,182.127,171.497,180.656,182.247,181.147,174.019,159.074,
longfeichengxiang11,62.849,80.954,117.833,119.026,123.855,126.098,122.731,123.049,119.434,106.096,101.974,103.632,66.54,87.985,117.106,108.186,113.417,118.005,121.46,125.326,123.612,103.355,103.805,102.329,74.796,103.302,138.685,144.469,138.601,129.705,144.385,154.278,147.781,126.331,122.662,120.686,68.707,88.691,117.503,118.135,116.332,118.671,108.979,127.03,126.218,111.056,107.247,102.05,
huangjingye11,118.215,125.174,128.865,132.509,87.502,59.349,58.882,59.723,122.773,127.096,122.916,118.181,114.879,122.375,125.377,129.745,94.209,73.249,100.759,77.448,127.904,128.392,124.365,116.724,123.471,124.247,126.392,137.19,94.077,125.538,215.687,68.917,120.475,113.825,96.019,86.658,124.829,130.035,133.551,138.004,89.801,112.972,98.807,65.145,131.29,135.687,131.63,124.315,
huangshang1111,125.09,132.245,137.203,141.302,135.85,140.488,137.229,134.426,125.663,122.83,119.215,114.195,130.675,141.851,142.266,147.36,153.121,154.979,147.199,147.938,130.106,139.248,138.945,127.058,131.483,142.703,141.534,148.099,151.787,152.761,143.245,151.985,122.811,143.236,129.745,124.929,131.983,140.802,145.338,148.281,148.563,143.039,159.678,153.12,132.272,125.456,140.918,135.822,
huanghelou1111,99.727,107.948,111.157,117.856,119.752,109.255,100.139,97.333,92.433,84.421,79.187,69.861,113.57,119.017,117.931,120.557,133.735,137.213,136.603,134.797,129.497,126.657,134.656,122.181,115.054,121.891,124.02,121.193,130.156,124.169,112.888,122.951,122.204,124.25,133.719,116.805,115.913,127.844,133.145,136.262,138.525,129.481,122.109,123.998,119.208,117.422,112.362,101.556,
huanghelou1122,48.164,63.264,55.583,52.847,55.292,55.743,68.101,54.234,51.12,49.547,75.243,70.975,52.186,71.457,65.82,61.032,63.615,65.348,75.245,103.022,71.295,59.555,91.92,89.781,55.863,72.756,68.97,62.98,64.63,68.379,69.991,99.425,75.4,63.434,90.933,90.392,58.369,73.782,63.373,62.147,62.682,62.321,75.847,62.267,64.871,64.268,106.092,89.328,
zhongnahai1111,135.44,146.683,158.527,158.886,161.593,166.514,164.092,162.49,154.317,148.914,142.298,122.594,99.731,105.606,131.685,124.554,124.293,177.219,175.62,169.45,168.298,151.998,146.965,135.43,118.189,128.594,153.285,145.37,165.898,167.304,167.265,160.741,168.765,138.131,135.768,143.057,147.111,158.729,164.252,169.586,175.013,175.886,168.515,169.887,174.263,166.929,161.223,156.102,
huangguoshu1111,49.006,56.439,58.387,58.174,63.26,62.663,59.299,60.398,60.887,57.346,105.792,47.563,58.382,70.574,67.759,68.953,65.385,74.16,71.64,64.905,82.096,79.008,114.175,59.772,72.836,84,84.276,82.098,79.459,84,79.965,76.569,96.783,88.7,127.155,76.51,65.051,68.607,74.847,69.475,68.651,66.255,59.59,67.716,77.212,67.432,118.253,71.531,
hedemen1111111,71.12,79.662,83.408,85.123,85.197,86.986,85.062,92.521,89.551,87.408,84.699,80.715,80.975,88.092,88.01,88.898,88.829,95.042,91.667,96.384,90.593,88.127,84.841,83.507,82.562,84.336,89.777,90.067,91.344,93.613,90.671,95.605,90.807,90.005,85.912,81.486,80.331,87.376,90.208,90.028,90.631,91.921,90.38,97.05,96.26,94.412,91.108,84.378,
huangjingye1111,110.113,121.049,125.234,129.392,79.995,58.935,58.862,58.607,131.604,127.596,121.634,116.19,106.61,117.636,123.225,126.677,83.448,74.346,93.895,66.692,134.167,129.909,125.463,118.679,116.108,120.472,125.052,133.796,84.713,143.586,209.6,65.506,122.457,120.484,109.394,85.365,118.043,127.874,132.227,137.337,85.261,119.308,89.609,63.904,141.572,138.734,135.535,128.574,
nanjing1111111,51.708,74.275,81.031,60.294,64.938,64.77,60.517,60.607,60.123,57.356,54.615,52.272,53.036,113.03,100.718,93.552,115.831,128.933,64.897,63.952,72.727,74.597,67.646,58.252,55.49,121.738,144.103,72.046,75.674,79.732,47.682,65.268,79.451,79.775,77.574,59.933,58.653,73.616,81.558,69.537,70.623,72.054,65.201,67.108,67.521,68.073,65.167,61.043,
yinzhonghua1111,55.44,62.079,60.683,61.714,61.588,62.1,61.934,66.38,61.915,60.419,58.952,56.353,58.402,81.702,70.526,73.518,74.079,66.481,69.598,69.122,68.435,78.903,73.217,63.835,59.121,77.581,68.854,77.303,81.713,85.47,86.826,70.717,74.878,73.526,75.432,67.899,66.74,96.387,65.93,71.622,68.164,67.288,65.488,68.816,65.881,64.515,62.519,59.532,
jiaozi1111111,96.66,100.768,98.337,62.089,64.764,72.848,73.484,63.49,63.36,61.938,57.585,52.466,118.882,113.008,126.3,81.547,84.555,87.276,138.933,83.559,84.919,87.906,86.919,81.961,119.488,139.322,127.057,64.343,68.623,108.25,87.505,68.995,80.053,77.421,77.705,72.709,100.901,100.504,87.181,63.976,66.437,72.687,64.65,68.233,65.89,65.355,63.75,60.41,
yunyang1111111,54.552,61.751,63.628,65.534,71.211,71.314,70.951,70.643,71.136,73.896,67.051,69.104,62.284,69.007,70.264,71.58,69.603,108.7,109.024,82.715,86.278,84.775,130.412,73.306,57.469,62.993,66.201,65.438,64.995,81.066,106.552,72.833,109.979,75.058,87.271,80.609,56.409,61.126,62.374,62.682,64.197,66.019,67.126,63.451,66.135,65.98,65.424,63.646,
yuxi1111111,112.968,121.112,125.799,130.112,131.177,135.812,124.061,136.689,113.935,62.267,61.052,58.49,105.44,115.822,122.521,121.971,135.95,109.169,78.887,115.401,115.433,63.971,62.655,59.001,117.294,126.249,130.839,137.745,142.91,103.327,92.182,111.211,122.431,83.596,93.073,79.766,123.742,135.106,138.351,142.113,139.313,144.866,119.44,144.234,122.558,76.108,75.686,73.846,
jiaozi222222,144.518,153.554,160.437,164.642,165.865,168.756,148.129,119.299,116.065,112.54,148.597,141.199,134.491,144.531,155.374,154.424,172.452,176.287,135.89,68.779,73.276,68.139,159.023,153.328,154.259,162.048,164.139,180.343,187.438,193.402,143.013,102.625,165.856,89.77,177.882,169.2,157.078,169.087,177.949,178.075,177.118,182.95,140.881,96.191,173.524,80.865,171.012,162.377,
jiaozi222222,145.738,157.685,165.156,168.9,170.36,173.391,151.794,122.75,119.956,115.662,154.361,147.141,134.218,146.237,156.608,155.842,173.967,177.846,131.316,70.418,74.97,70.141,162.772,157,149.02,155.261,160.232,173.903,180.213,186.717,122.262,95.764,164.322,82.235,173.199,165.475,157.9,172.593,179.348,179.52,178.743,184.931,144.433,101.002,179.78,85.561,174.151,166.214,
yuxi11222222,79.867,87.493,93.633,97.915,87.616,89.19,90.365,87.242,88.368,87.359,86.003,82.188,71.429,79.566,86.575,88.13,87.643,92.845,82.553,91.568,83.749,90.293,89.735,87.249,89.291,101.374,101.464,110.998,107.2,116.597,101.406,107.343,149.388,110.558,106.452,101.795,87.546,95.556,99.946,106.419,92.486,96.206,93.997,97.428,123.685,92.133,91.858,86.791,
